"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",68.19456,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",83.72585,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",73.83338,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",81.97851,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",68.80176,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",59.88688,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",71.15825,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",73.22618,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",76.39027,,
"ODCNPI03","Permits issued for dwellings sa, Index","AUS","Australia","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",85.39845,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",117.9,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",114.5,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",106.9,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",91.1,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",98.8,,
"PRINTO01","Production of total industry sa, Index","AUT","Austria","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",105.6,,
